time,thscode,chg_factor
2023-03-30,300543.SZ,0.8380581244466596
2023-03-30,300521.SZ,1.0
2023-03-30,000762.SZ,0.7912185983619886
2023-03-30,000823.SZ,0.6969108538246591
2023-03-30,002493.SZ,0.3279195927157907
2023-03-30,831768.BJ,0.8568800461041197
2023-03-30,688101.SH,0.5476115670300814
2023-03-30,301127.SZ,1.0
2023-03-30,603390.SH,0.37509316523353803
2023-03-30,000597.SZ,0.41309504920238016
2023-03-30,300680.SZ,0.8841317727132773
2023-03-30,300341.SZ,0.7017391794217352
2023-03-30,002628.SZ,1.0
2023-03-30,000573.SZ,0.7987775868272398
2023-03-30,001979.SZ,0.3516739105012024
2023-03-30,600620.SH,0.7010490955448513
2023-03-30,300850.SZ,1.0
2023-03-30,300575.SZ,0.880604532205524
2023-03-30,605289.SH,1.0
2023-03-30,002581.SZ,0.8158073151718461
2023-03-30,688358.SH,0.08972235090429637
2023-03-30,000909.SZ,0.6545877695339779
2023-03-30,300446.SZ,0.6864201979844811
2023-03-30,300869.SZ,1.0
2023-03-30,000726.SZ,0.7541127193642216
2023-03-30,002920.SZ,0.7026120760207241
2023-03-30,605259.SH,1.0
2023-03-30,002081.SZ,0.5057617071234264
2023-03-30,002797.SZ,1.0
2023-03-30,002383.SZ,1.0
2023-03-30,003001.SZ,1.0
2023-03-30,688662.SH,0.993233504366958
2023-03-30,300471.SZ,0.8380436026108752
2023-03-30,600011.SH,0.39789404196231726
2023-03-30,600151.SH,0.6227559015215538
2023-03-30,300628.SZ,1.0
2023-03-30,600007.SH,0.19351302779563886
2023-03-30,001215.SZ,1.0
2023-03-30,300488.SZ,0.330419676863566
2023-03-30,300539.SZ,0.5154013916998376
2023-03-30,833427.BJ,0.6597311248718344
2023-03-30,001268.SZ,1.0
2023-03-30,000831.SZ,0.5991866372082457
2023-03-30,000539.SZ,0.31907225893784286
2023-03-30,300538.SZ,0.8317502250103403
2023-03-30,688608.SH,1.0
2023-03-30,688575.SH,1.0
2023-03-30,300409.SZ,0.9532983972923511
2023-03-30,000688.SZ,0.2982558852699589
2023-03-30,600814.SH,0.31738720189265734
2023-03-30,002839.SZ,1.0
2023-03-30,600926.SH,1.0
2023-03-30,837821.BJ,1.0
2023-03-30,871857.BJ,0.9924834822412171
2023-03-30,600805.SH,1.0
2023-03-30,002155.SZ,0.6373325490023913
2023-03-30,002319.SZ,0.7400002050000246
2023-03-30,300056.SZ,0.8304384645858452
2023-03-30,601399.SH,1.0
2023-03-30,600562.SH,0.6075472294986753
2023-03-30,300814.SZ,1.0
2023-03-30,000652.SZ,0.6699927735763552
2023-03-30,301263.SZ,1.0
2023-03-30,000603.SZ,1.0
2023-03-30,603610.SH,1.0
2023-03-30,600313.SH,0.6247564407226209
2023-03-30,002131.SZ,0.9726891343876942
2023-03-30,000812.SZ,1.0
2023-03-30,600211.SH,0.6189707151723458
2023-03-30,600775.SH,0.6330218581435122
2023-03-30,603886.SH,1.0
2023-03-30,000963.SZ,0.5822558965208408
2023-03-30,300535.SZ,0.6842550120121366
2023-03-30,000656.SZ,0.8659961860963858
2023-03-30,002261.SZ,1.0
2023-03-30,603029.SH,1.0
2023-03-30,001318.SZ,1.0
2023-03-30,688111.SH,0.9097838728232968
2023-03-30,603237.SH,1.0
2023-03-30,300108.SZ,0.8127522087018328
2023-03-30,603061.SH,1.0
2023-03-30,600362.SH,0.41969096932805267
2023-03-30,000027.SZ,0.5099100533764155
2023-03-30,002998.SZ,1.0
2023-03-30,300444.SZ,0.9641616596380761
2023-03-30,600409.SH,0.6355269415607163
2023-03-30,002484.SZ,0.6894607431643055
2023-03-30,300065.SZ,0.9823362798708286
2023-03-30,002537.SZ,1.0
2023-03-30,600290.SH,0.7162879775140196
2023-03-30,600221.SH,0.7542266405457141
2023-03-30,603716.SH,1.0
2023-03-30,301300.SZ,1.0
2023-03-30,688768.SH,1.0
2023-03-30,002993.SZ,1.0
2023-03-30,688350.SH,1.0
2023-03-30,688331.SH,1.0
2023-03-30,600088.SH,0.9747175579774416
2023-03-30,002418.SZ,0.7736026280687172
